"id","name","title","addedDate","bdr","company","source","status","link","phone","notes","email"
"1938","Ms. Tammy Stracke","National Division Executive","2025-06-10 14:57:26.15","Jennifer Davies","Innovation Hub (Manufacturing)","Referral","New Lead",,"1-211-730-1541 x7523","Lead from Manufacturing industry via Cold Call","Annie27@gmail.com"
"1939","Abel Greenfelder","Internal Tactics Consultant","2025-06-06 08:45:36.177","Mark Cawston","Future Tech (Healthcare)","Cold Call","New Lead",,"(860) 358-9541 x661","Lead from Healthcare industry via Trade Show","Brandt4@hotmail.com"
"1940","Jay Emard","Corporate Communications Planner","2025-06-30 08:23:58.754","Naeem Patel","TechCorp Solutions (Technology)","Referral","Converted",,"(895) 883-6614 x9150","Lead from Technology industry via Cold Call","Lucy67@hotmail.com"
"1941","Leon Price","Dynamic Accountability Coordinator","2025-06-05 08:42:48.783","Thomas Corcoran","Strategic Partners (Hospitality)","Trade Show","New Lead",,"943.882.8219 x66294","Lead from Hospitality industry via Partner","Anabel.Torp@gmail.com"
"1942","Pedro Kerluke","Global Research Executive","2025-06-16 10:11:24.038","Jamie Waite","Enterprise Solutions (Education)","Content Marketing","New Lead",,"945.469.8347 x8206","Lead from Education industry via Content Marketing","Freeda_Lindgren@hotmail.com"
"1943","Mario O'Reilly","Forward Mobility Specialist","2025-06-30 16:44:29.813","Jennifer Davies","TechCorp Solutions (Marketing)","Partner","Converted",,"835.787.5415 x8376","Lead from Marketing industry via Partner","Nick.Russel82@yahoo.com"
"1944","Muriel Harvey","Product Communications Consultant","2025-07-28 14:48:40.94","Jamie Waite","Strategic Partners (Manufacturing)","Partner","New Lead",,"256.379.9846","Lead from Manufacturing industry via Webinar","Estrella_Bartoletti5@hotmail.com"
"1945","Hilda Franey","Lead Functionality Planner","2025-06-13 13:03:57.088","Stephen Vivian","Enterprise Solutions (Marketing)","Cold Call","New Lead",,"430-603-9459","Lead from Marketing industry via Referral","Olaf_Ankunding@yahoo.com"
"1946","Irene Wisozk","Direct Mobility Strategist","2025-07-02 15:03:31.812","Naeem Patel","Enterprise Solutions (Healthcare)","Content Marketing","Converted",,"1-204-775-7884 x105","Lead from Healthcare industry via Partner","Harley95@yahoo.com"
"1947","Evan Will","Product Operations Director","2025-07-08 10:27:35.818","Mark Cawston","Advanced Analytics (Technology)","Cold Email","New Lead",,"1-508-610-2071 x7856","Lead from Technology industry via Webinar","Camden.Bosco@yahoo.com"
"1948","Hector Thiel III","Internal Directives Coordinator","2025-06-25 13:49:03.727","Thomas Hardy","Future Tech (Construction)","Website Form","New Lead",,"955.203.6834 x6368","Lead from Construction industry via Social Media","Halie_Romaguera89@gmail.com"
"1949","Marlon Gusikowski","Investor Tactics Administrator","2025-06-30 09:10:30.23","Jamie Waite","Global Systems Inc (Retail)","Cold Email","New Lead",,"1-323-552-5007 x847","Lead from Retail industry via Content Marketing","Cicero_Kessler49@hotmail.com"
"1950","Margarita Von","Internal Tactics Agent","2025-08-04 15:39:09.599","Thomas Corcoran","Global Systems Inc (Finance)","Cold Call","New Lead",,"(545) 651-6260","Lead from Finance industry via Cold Email","Andre92@gmail.com"
"1951","Colleen Lockman","Direct Branding Assistant","2025-07-23 09:35:08.483","Gary Smith","Digital Innovations Ltd (Consulting)","LinkedIn","Converted",,"512.598.5632 x875","Lead from Consulting industry via Cold Call","Myriam88@hotmail.com"
"1952","Raymond Goyette","Principal Quality Designer","2025-06-23 09:54:54.094","Gary Smith","Business Dynamics (Construction)","Cold Email","Converted",,"702.762.8683 x345","Lead from Construction industry via Website Form","Eva_Pfannerstill77@yahoo.com"
"1953","Jeannette Feil","District Security Specialist","2025-06-23 08:03:14.906","Jennifer Davies","Data Solutions (Manufacturing)","Webinar","New Lead",,"1-299-468-5989","Lead from Manufacturing industry via Website Form","Raegan.Collins42@gmail.com"
"1954","Angel Jakubowski","Internal Usability Manager","2025-07-28 14:36:28.123","Stephen Vivian","Enterprise Solutions (Legal)","Trade Show","New Lead",,"1-906-816-6250 x268","Lead from Legal industry via Webinar","Hollie_Armstrong3@gmail.com"
"1955","Jackie Dickinson","Principal Intranet Producer","2025-06-06 09:35:37.271","Dan Reeves","Prime Business Group (Education)","Website Form","New Lead",,"1-984-219-8409 x4054","Lead from Education industry via Webinar","Jaylon_Harris@gmail.com"
"1956","Meredith Pfeffer","Lead Data Technician","2025-07-17 16:13:30.837","Jess Collins","TechCorp Solutions (Consulting)","Social Media","Converted",,"766-938-8863 x60231","Lead from Consulting industry via Content Marketing","Freeman12@yahoo.com"
"1957","Carlton Parker","Dynamic Operations Producer","2025-07-17 13:59:30.085","Stephen Vivian","Growth Partners (Marketing)","Partner","New Lead",,"1-728-230-3377 x584","Lead from Marketing industry via Referral","Jamal_Aufderhar@gmail.com"
"1958","Terry Stehr","Forward Group Liaison","2025-06-24 10:02:59.993","Naeem Patel","Smart Systems (Consulting)","Website Form","New Lead",,"1-772-360-7808 x4571","Lead from Consulting industry via Website Form","Jessie17@gmail.com"
"1959","Lisa Schultz","Product Research Consultant","2025-07-21 08:10:50.984","Adel Mhiri","Business Dynamics (Manufacturing)","Webinar","New Lead",,"570.443.8045 x1583","Lead from Manufacturing industry via Cold Email","Makayla.Cormier87@gmail.com"
"1960","Dana Roob","National Quality Designer","2025-06-05 08:41:31.395","Thomas Hardy","Strategic Partners (Retail)","Trade Show","New Lead",,"(528) 986-6952","Lead from Retail industry via Social Media","Shania.McCullough80@hotmail.com"
"1961","Sally Baumbach","Lead Brand Coordinator","2025-07-03 08:38:31.07","Verity Kay","Global Systems Inc (Retail)","Webinar","New Lead",,"581-398-8844 x818","Lead from Retail industry via LinkedIn","Donnie3@hotmail.com"
"1962","Jimmy Ullrich","Senior Assurance Agent","2025-07-14 12:10:57.699","Dan Reeves","TechCorp Solutions (Legal)","Trade Show","New Lead",,"626-405-5611 x375","Lead from Legal industry via Content Marketing","Jessika_Harber29@hotmail.com"
"1963","Kara Mueller","National Marketing Officer","2025-06-10 08:29:17.818","Thomas Corcoran","Future Tech (Healthcare)","Cold Call","New Lead",,"853-948-6303 x0209","Lead from Healthcare industry via Trade Show","Katelyn_Abshire76@hotmail.com"
"1964","Dave Bins","District Response Representative","2025-07-16 13:16:23.919","Jamie Waite","Strategic Partners (Technology)","Content Marketing","Converted",,"701-221-2363 x453","Lead from Technology industry via Social Media","Georgette_Greenfelder62@gmail.com"
"1965","Eleanor Hane","Chief Division Executive","2025-07-24 13:20:15.435","Dan Reeves","Data Solutions (Education)","Trade Show","New Lead",,"572.950.7297","Lead from Education industry via Partner","Fredy.DuBuque70@gmail.com"
"1966","Mr. Kelly Senger","Corporate Accounts Administrator","2025-07-21 16:02:06.142","Thomas Corcoran","Strategic Partners (Real Estate)","Cold Call","New Lead",,"347-901-6307 x8048","Lead from Real Estate industry via Referral","Hillary6@gmail.com"
"1967","Elsie Funk","Human Marketing Coordinator","2025-07-07 10:45:38.268","Adel Mhiri","Growth Partners (Hospitality)","Referral","New Lead",,"1-622-238-0836 x61508","Lead from Hospitality industry via Partner","Vada.Ortiz92@yahoo.com"
"1968","Dr. Darrin Kemmer","Legacy Brand Orchestrator","2025-06-30 09:59:54.485","Dan Reeves","Digital Innovations Ltd (Retail)","Cold Email","New Lead",,"(806) 508-0352 x86342","Lead from Retail industry via Referral","Reed64@hotmail.com"
"1969","Dr. Alberto Paucek DDS","Principal Response Architect","2025-08-04 13:03:29.724","Verity Kay","Innovation Hub (Technology)","Cold Email","Converted",,"359.734.5809 x144","Lead from Technology industry via Social Media","Valentine_Dickens-Wunsch@yahoo.com"
"1970","Dianna Emard","Product Security Representative","2025-08-04 12:18:46.847","Thomas Corcoran","Enterprise Solutions (Healthcare)","Cold Email","New Lead",,"655.829.9799 x5414","Lead from Healthcare industry via Social Media","Dario.Huel64@hotmail.com"
"1971","Alfredo Gerhold","Lead Division Administrator","2025-07-30 16:45:00.277","Jamie Waite","Growth Partners (Marketing)","Trade Show","New Lead",,"376-297-4846 x337","Lead from Marketing industry via Cold Call","Katlyn28@yahoo.com"
"1972","Eva Gutkowski","Forward Configuration Planner","2025-07-07 08:21:24.049","Stephen Vivian","Digital Innovations Ltd (Retail)","Social Media","Converted",,"1-414-217-6927 x7408","Lead from Retail industry via Cold Call","Spencer.Mann68@hotmail.com"
"1973","Miss Kay Nader","Lead Operations Facilitator","2025-06-05 11:25:09.535","Rupert Kay","Future Tech (Finance)","Cold Call","New Lead",,"1-939-856-4580 x95341","Lead from Finance industry via Referral","Marcos_Christiansen52@hotmail.com"
"1974","Ignacio Wolf","Future Solutions Officer","2025-06-09 09:34:57.134","Jennifer Davies","Business Dynamics (Consulting)","Webinar","New Lead",,"672-964-7987 x1942","Lead from Consulting industry via Website Form","Flavio47@gmail.com"
"1975","Kelly Towne","National Markets Developer","2025-06-30 09:04:48.091","Jess Collins","Strategic Partners (Technology)","Cold Call","New Lead",,"600.837.5781 x764","Lead from Technology industry via LinkedIn","Blake_Wuckert75@yahoo.com"
"1976","Ida Hamill","International Applications Orchestrator","2025-06-16 09:35:12.315","Jamie Waite","Enterprise Solutions (Healthcare)","Content Marketing","New Lead",,"996.801.3436 x5008","Lead from Healthcare industry via Referral","Isabelle_Block70@hotmail.com"
"1977","Kelli Stanton","Global Research Coordinator","2025-06-23 12:55:33.949","Jess Collins","Smart Systems (Education)","Cold Call","New Lead",,"1-558-556-1098","Lead from Education industry via Webinar","Vincenza77@gmail.com"
"1978","Florence Little","Internal Integration Coordinator","2025-06-17 16:17:56.601","Rupert Kay","Global Systems Inc (Technology)","Cold Email","New Lead",,"464.404.9474 x71196","Lead from Technology industry via Referral","Frederik65@gmail.com"
"1979","Leroy Veum","District Intranet Producer","2025-07-24 15:54:59.385","Dan Reeves","Innovation Hub (Real Estate)","Cold Call","New Lead",,"1-526-542-3263 x62678","Lead from Real Estate industry via Cold Email","Abagail55@hotmail.com"
"1980","Jennifer Volkman","Principal Group Supervisor","2025-07-23 13:40:13.02","Adel Mhiri","Smart Systems (Retail)","Trade Show","Converted",,"1-790-749-0317","Lead from Retail industry via Website Form","Syble68@hotmail.com"
"1981","Rochelle Lueilwitz","Customer Factors Architect","2025-07-29 15:00:40.714","Jamie Waite","NextGen Technologies (Technology)","Trade Show","New Lead",,"653.458.0579 x8932","Lead from Technology industry via Referral","Kieran.Rippin45@gmail.com"
"1982","Sylvia Tremblay","Senior Factors Executive","2025-07-09 10:56:12.891","Mark Cawston","NextGen Technologies (Retail)","Website Form","New Lead",,"1-840-568-6222 x35640","Lead from Retail industry via Webinar","Elissa.Berge7@yahoo.com"
"1983","Gayle Parker","Central Operations Agent","2025-06-30 09:40:50.278","Thomas Hardy","Performance Group (Legal)","Webinar","New Lead",,"303.432.8640","Lead from Legal industry via Webinar","Kameron26@gmail.com"
"1984","Doug Kovacek","Dynamic Branding Agent","2025-06-10 12:37:13.2","Verity Kay","Future Tech (Manufacturing)","Partner","New Lead",,"289.250.7445","Lead from Manufacturing industry via Cold Email","Ena8@gmail.com"
"1985","Leslie Mraz","Customer Metrics Orchestrator","2025-07-01 13:36:53.065","Jennifer Davies","Digital Innovations Ltd (Technology)","Partner","Converted",,"(244) 496-4371 x54487","Lead from Technology industry via Content Marketing","Esteban21@hotmail.com"
"1986","Daniel Haag","Lead Infrastructure Associate","2025-07-29 13:48:04.436","Naeem Patel","NextGen Technologies (Marketing)","Cold Call","New Lead",,"1-601-640-9079 x955","Lead from Marketing industry via Partner","Calista8@yahoo.com"
"1987","Lillie Romaguera","Principal Directives Strategist","2025-06-09 12:11:12.699","Naeem Patel","Enterprise Solutions (Retail)","Partner","New Lead",,"1-768-538-0441","Lead from Retail industry via Social Media","Scot16@yahoo.com"
"1988","Geoffrey Kuhn","Corporate Intranet Officer","2025-07-04 12:15:40.977","Rupert Kay","Growth Partners (Finance)","Partner","New Lead",,"(794) 572-8590","Lead from Finance industry via Website Form","Schuyler_Rohan@gmail.com"
"1989","Hannah Sawayn","Principal Creative Analyst","2025-06-23 09:21:04.836","Mark Cawston","Smart Systems (Consulting)","Cold Email","Converted",,"984.603.6582 x1033","Lead from Consulting industry via LinkedIn","Junius_Kuvalis@hotmail.com"
"1990","Miss Kristen Koss II","Corporate Operations Agent","2025-07-04 10:10:08.295","Jamie Waite","NextGen Technologies (Manufacturing)","Referral","New Lead",,"283-355-4189 x0910","Lead from Manufacturing industry via LinkedIn","Elta82@gmail.com"
"1991","Jan Kub","Corporate Program Producer","2025-06-16 09:04:32.389","Verity Kay","Prime Business Group (Technology)","LinkedIn","New Lead",,"1-441-357-2833 x07234","Lead from Technology industry via Cold Email","General44@yahoo.com"
"1992","Ms. Marguerite Cole","Internal Creative Administrator","2025-07-14 10:48:34.861","Verity Kay","Smart Systems (Technology)","Social Media","New Lead",,"822.377.6072 x4835","Lead from Technology industry via LinkedIn","Stuart93@gmail.com"
"1993","Omar Jacobson V","Direct Directives Facilitator","2025-06-18 12:21:22.828","Jennifer Davies","Advanced Analytics (Construction)","Social Media","New Lead",,"215-894-4547 x37185","Lead from Construction industry via Content Marketing","Johanna30@gmail.com"
"1994","Kim Nikolaus","Product Optimization Consultant","2025-07-23 10:01:32.939","Thomas Corcoran","Smart Systems (Marketing)","Website Form","Converted",,"877.447.4123 x8028","Lead from Marketing industry via Trade Show","Marvin21@yahoo.com"
"1995","Eva Cummerata","Central Intranet Assistant","2025-07-10 16:57:36.299","Jess Collins","Strategic Partners (Healthcare)","Webinar","New Lead",,"1-308-229-3952 x67380","Lead from Healthcare industry via Cold Call","Sharon_Stehr@yahoo.com"
"1996","Wilfred Hagenes","Dynamic Intranet Manager","2025-06-27 14:05:03.753","Stephen Vivian","Strategic Partners (Real Estate)","Cold Call","New Lead",,"631.321.2419","Lead from Real Estate industry via Partner","Mauricio.Lakin20@hotmail.com"
"1997","Betty Huels","Global Brand Strategist","2025-06-09 13:46:39.513","Jess Collins","NextGen Technologies (Legal)","Partner","Converted",,"1-573-880-0235","Lead from Legal industry via Cold Email","Bertha.Jast@yahoo.com"
"1998","Tom Ritchie","National Factors Manager","2025-06-18 09:21:13.516","Verity Kay","Data Solutions (Real Estate)","Cold Email","New Lead",,"1-364-628-1894 x056","Lead from Real Estate industry via Partner","Rene.Jenkins33@hotmail.com"
"1999","Ms. Flora Kris","Human Tactics Representative","2025-07-23 09:17:20.472","Jess Collins","Innovation Hub (Hospitality)","Social Media","Converted",,"799.825.0541 x542","Lead from Hospitality industry via Content Marketing","Asia.Ledner@yahoo.com"
"2000","Debra Streich","Principal Solutions Director","2025-07-28 11:23:36.938","Adel Mhiri","Business Dynamics (Finance)","Referral","New Lead",,"819-589-3668 x856","Lead from Finance industry via Social Media","Isaac_Emmerich@hotmail.com"
"2001","Barbara Keeling","Corporate Data Liaison","2025-07-03 14:33:33.859","Jess Collins","Strategic Partners (Finance)","Social Media","Converted",,"284.346.2636 x72862","Lead from Finance industry via Cold Call","Blanca45@yahoo.com"
"2002","Marcos Dach","District Data Assistant","2025-07-08 16:41:50.64","Jamie Waite","Data Solutions (Manufacturing)","Content Marketing","New Lead",,"408.926.0880 x6805","Lead from Manufacturing industry via Webinar","Tanner89@gmail.com"
"2003","Evelyn McKenzie","Customer Tactics Technician","2025-06-10 15:01:39.271","Naeem Patel","NextGen Technologies (Education)","Partner","New Lead",,"826.539.1024 x1717","Lead from Education industry via Referral","Marilou71@yahoo.com"
"2004","Guadalupe Swaniawski","Direct Communications Officer","2025-07-14 09:06:58.922","Thomas Corcoran","Data Solutions (Real Estate)","Cold Call","New Lead",,"1-998-531-5802 x332","Lead from Real Estate industry via Webinar","Ayana_Bayer70@yahoo.com"
"2005","Katherine Bailey I","Chief Creative Designer","2025-07-07 11:23:10.411","Stephen Vivian","Future Tech (Retail)","Cold Email","New Lead",,"(716) 996-9652 x363","Lead from Retail industry via Referral","Rahsaan78@yahoo.com"
"2006","Helen Little","Legacy Infrastructure Technician","2025-07-07 11:13:47.237","Naeem Patel","Future Tech (Finance)","Trade Show","New Lead",,"770.408.2205 x0443","Lead from Finance industry via LinkedIn","Josiah_Hoppe11@yahoo.com"
"2007","Miss Maxine Roberts Jr.","Product Factors Associate","2025-07-02 10:17:05.946","Thomas Hardy","Data Solutions (Manufacturing)","Cold Email","New Lead",,"1-756-606-5008 x02875","Lead from Manufacturing industry via Website Form","Alison_Kuhn@hotmail.com"
"2008","Johnathan Douglas","International Communications Associate","2025-06-18 14:25:51.65","Naeem Patel","Smart Systems (Legal)","Trade Show","New Lead",,"(813) 266-0037 x492","Lead from Legal industry via Social Media","Yasmeen3@gmail.com"
"2009","Elijah O'Kon","Lead Infrastructure Consultant","2025-06-16 13:31:49.971","Jennifer Davies","Elite Consulting (Technology)","Cold Email","Converted",,"718.499.1555 x731","Lead from Technology industry via Cold Email","Madelynn.Weber@gmail.com"
"2010","Kristopher Fadel","Investor Web Associate","2025-06-27 10:22:37.386","Verity Kay","Elite Consulting (Construction)","Trade Show","Converted",,"(844) 611-5794 x3406","Lead from Construction industry via Referral","Connie71@hotmail.com"
"2011","Darin Olson","Central Mobility Assistant","2025-07-04 16:06:18.159","Dan Reeves","Smart Systems (Marketing)","Trade Show","New Lead",,"(957) 556-4438 x5848","Lead from Marketing industry via LinkedIn","Eldon_Dach47@gmail.com"
"2012","Forrest Quitzon","Direct Security Officer","2025-06-20 09:33:48.224","Gary Smith","TechCorp Solutions (Manufacturing)","Cold Email","New Lead",,"318-251-4624 x7187","Lead from Manufacturing industry via Referral","Viola56@hotmail.com"
"2013","Angelica Sporer","Direct Configuration Assistant","2025-07-01 12:35:46.321","Adel Mhiri","Elite Consulting (Retail)","Partner","New Lead",,"630-362-9149","Lead from Retail industry via Cold Email","Erling75@yahoo.com"
"2014","Shawna Orn","Investor Usability Supervisor","2025-06-09 15:26:32.054","Jamie Waite","Growth Partners (Finance)","Cold Email","New Lead",,"291.445.3006 x7285","Lead from Finance industry via Referral","Adalberto33@hotmail.com"
"2015","Dixie Schmidt","Lead Configuration Associate","2025-06-23 10:29:16.213","Naeem Patel","Smart Systems (Hospitality)","Cold Email","New Lead",,"407-923-8568 x34467","Lead from Hospitality industry via Referral","Jordane65@yahoo.com"
"2016","Hilda Gutmann-Powlowski","Customer Division Officer","2025-07-28 11:57:47.858","Gary Smith","Performance Group (Construction)","Cold Email","Converted",,"(851) 474-1542 x25258","Lead from Construction industry via Trade Show","Tiana41@hotmail.com"
"2017","Sara Jacobs","Legacy Implementation Strategist","2025-07-09 13:18:07.798","Jamie Waite","Performance Group (Construction)","Trade Show","New Lead",,"(757) 473-0176","Lead from Construction industry via Cold Email","Tressa16@yahoo.com"
"2018","Delia Leannon","Human Accounts Associate","2025-07-07 16:15:43.988","Adel Mhiri","Performance Group (Consulting)","Referral","New Lead",,"(367) 393-3239","Lead from Consulting industry via Content Marketing","Maurice_Schamberger@yahoo.com"
"2019","Marie Mayer","International Operations Analyst","2025-08-01 16:59:13.775","Dan Reeves","Performance Group (Legal)","Cold Call","New Lead",,"(209) 610-0578 x952","Lead from Legal industry via Social Media","Alfonso.Franey@hotmail.com"
"2020","Wendell Schaefer-King","Product Division Officer","2025-06-17 11:01:29.626","Jennifer Davies","Smart Systems (Manufacturing)","Cold Email","New Lead",,"(426) 862-2842 x800","Lead from Manufacturing industry via Cold Call","Nikolas.Weimann7@gmail.com"
"2021","Mindy Schaefer","Customer Factors Administrator","2025-08-04 16:35:07.587","Gary Smith","Global Systems Inc (Education)","Partner","New Lead",,"1-428-851-4382","Lead from Education industry via Partner","Rickie63@gmail.com"
"2022","Darrin Wehner","Senior Infrastructure Technician","2025-07-21 16:34:57.399","Stephen Vivian","Elite Consulting (Manufacturing)","LinkedIn","New Lead",,"402-623-1465 x4668","Lead from Manufacturing industry via Content Marketing","Pansy.Bruen38@yahoo.com"
"2023","Penny Turcotte","Dynamic Applications Liaison","2025-06-23 13:17:04.097","Mark Cawston","Advanced Analytics (Retail)","LinkedIn","Converted",,"(866) 349-2488 x161","Lead from Retail industry via Webinar","Daisha25@gmail.com"
"2024","Desiree Jaskolski Jr.","Chief Marketing Engineer","2025-07-24 14:17:21.032","Dan Reeves","Prime Business Group (Retail)","Webinar","New Lead",,"946-659-9503 x2676","Lead from Retail industry via Content Marketing","Cathrine5@gmail.com"
"2025","Brendan Dare","Investor Brand Developer","2025-07-04 12:36:03.68","Jamie Waite","NextGen Technologies (Legal)","LinkedIn","New Lead",,"218-906-3165","Lead from Legal industry via Social Media","Onie_Rempel@yahoo.com"
"2026","Caleb McCullough","Central Intranet Assistant","2025-06-30 16:12:12.92","Verity Kay","Elite Consulting (Technology)","Referral","New Lead",,"537.599.0683 x79104","Lead from Technology industry via Partner","Nona_Erdman@hotmail.com"
"2027","Blanca Bode","Human Brand Coordinator","2025-07-31 11:24:18.095","Naeem Patel","Enterprise Solutions (Legal)","LinkedIn","Converted",,"(599) 406-7232 x79606","Lead from Legal industry via LinkedIn","Mervin88@hotmail.com"
"2028","Cornelius Hayes","National Quality Liaison","2025-07-07 09:53:38.625","Stephen Vivian","Performance Group (Healthcare)","LinkedIn","Converted",,"1-857-483-4293 x438","Lead from Healthcare industry via Cold Call","Addison.Brakus20@gmail.com"
"2029","Essie Collier","Principal Communications Agent","2025-08-04 10:32:58.556","Thomas Hardy","Enterprise Solutions (Manufacturing)","LinkedIn","New Lead",,"949-746-7467","Lead from Manufacturing industry via Content Marketing","Dejon_Quitzon-Cassin@yahoo.com"
"2030","Andrea Lowe","Corporate Implementation Planner","2025-06-12 14:26:48.112","Mark Cawston","Performance Group (Finance)","Webinar","New Lead",,"325-388-0671 x361","Lead from Finance industry via Social Media","Edwina.Hirthe-Nader3@gmail.com"
"2031","Victoria Balistreri-Davis","Senior Accountability Architect","2025-06-09 14:45:07.095","Naeem Patel","Strategic Partners (Retail)","Trade Show","Converted",,"(878) 701-1670 x85739","Lead from Retail industry via Webinar","Abraham76@yahoo.com"
"2032","Rhonda Jerde","Product Mobility Administrator","2025-07-15 09:15:43.575","Thomas Hardy","Advanced Analytics (Hospitality)","Cold Call","New Lead",,"(929) 969-2842 x42592","Lead from Hospitality industry via Partner","Furman_Lesch64@gmail.com"
